"h3_id","h3_mean_temp","h3_median_temp","h3_center_lon","h3_center_lat","species","n_occ","min_seabed_t","mean_seabed_t","median_seabed_t","max_seabed_t","mid_point","thermal_range","seabed_thermal_pos"
"850e084bfffffff",1.154,1.154,-76.7895360402793,57.5193473091071,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.856
"850e084ffffffff",1.231,1.231,-76.6144911382843,57.3797396096955,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.848
"850e086bfffffff",1.3,1.3,-76.5780627917878,57.0889362891398,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.842
"850e086ffffffff",2.415,2.415,-76.4059450251617,56.9491615935504,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.73
"850e0a03fffffff",0.472,0.472,-77.8606835826259,57.3277389373512,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.924
"850e0a07fffffff",0.785,0.785,-77.6824050347247,57.1896792286723,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.893
"850e0a0bfffffff",0.518,0.518,-78.1716144913354,57.3128191220149,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.92
"850e0a0ffffffff",0.517,0.517,-77.9922139241212,57.1752064607328,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.92
"850e0a13fffffff",0.243,0.243,-77.7280168166051,57.4801792108493,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.947
"850e0a17fffffff",0.542,0.542,-77.5494877059462,57.3418922145116,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.917
"850e0a1bfffffff",0.239,0.239,-78.0403493443372,57.465578039623,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.948
"850e0a23fffffff",0.843,0.843,-77.6375305220342,56.8993288328766,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.887
"850e0a27fffffff",1.035,1.035,-77.462222995517,56.7610753665511,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.868
"850e0a2bfffffff",1.088,1.088,-77.94485582405,56.8849825308818,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.863
"850e0a2ffffffff",1.214,1.214,-77.7684447219944,56.747166254999,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.85
"850e0a33fffffff",0.772,0.772,-77.5055011086358,57.0514047036976,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.894
"850e0a37fffffff",0.833,0.833,-77.329959300953,56.9129211130701,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.888
"850e0a3bfffffff",0.647,0.647,-77.8141900638595,57.0373744411315,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.907
"850e0a43fffffff",1,1,-78.6641633814727,57.4340664905642,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.872
"850e0a47fffffff",1.155,1.155,-78.4822624810709,57.2971342477921,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.856
